perlin_value,selected_tile,x,y,collaped,possible_tiles
0.2658467000074527,25,0,0,True,3
0.247719499707116,24,1,0,True,2
0.2371767478757058,28,2,0,True,2
0.23493142081547572,23,3,0,True,2
0.24100878770316883,29,4,0,True,1
0.2547577495030311,1,5,0,True,2
0.27493117583736004,1,6,0,True,2
0.2998140555239164,1,7,0,True,2
0.3273585546510144,28,8,0,True,2
0.35531858638226155,29,9,0,True,1
0.3813792663450951,8,10,0,True,2
0.4032774317125325,7,11,0,True,1
0.4189102063429259,24,12,0,True,2
0.42642939859778567,22,13,0,True,2
0.42432032271307646,27,14,0,True,2
0.41146443885471695,30,15,0,True,2
0.3871860112443129,22,16,0,True,2
0.3512837879964876,27,17,0,True,2
0.3040495105644803,7,18,0,True,1
0.24627586494603393,26,19,0,True,1
0.1792572910568448,25,20,0,True,3
0.1047878213602207,-1,21,0,False,0
0.02513735200565193,20,22,0,True,3
-0.05706654324573786,0,23,0,True,1
-0.13899607145541068,0,24,0,True,1
-0.2177874328820183,0,25,0,True,1
-0.2902830664665691,0,26,0,True,1
-0.35308640067338837,0,27,0,True,1
-0.40299840389712716,0,28,0,True,1
-0.43737014631583754,0,29,0,True,1
-0.45435347913938073,0,30,0,True,1
-0.4530378176260738,0,31,0,True,1
-0.43349858453483997,0,32,0,True,1
-0.39678925109817387,0,33,0,True,1
-0.34487631129999136,0,34,0,True,1
-0.2805260395248903,0,35,0,True,1
-0.20715244246310716,0,36,0,True,1
-0.12863543128247576,0,37,0,True,1
-0.04911797584410219,0,38,0,True,1
0.027209140857825678,13,39,0,True,3
0.3233517193479701,7,0,1,True,3
0.3065736564276304,24,1,1,True,2
0.297075665682873,8,2,1,True,2
0.29554037878197387,7,3,1,True,1
0.3019697431737814,26,4,1,True,1
0.31572001767864405,29,5,1,True,1
0.33557752558572784,28,6,1,True,2
0.3598546835550492,23,7,1,True,2
0.3865149204796822,25,8,1,True,2
0.4133176671581034,26,9,1,True,1
0.43795736042932115,29,10,1,True,1
0.4581907628860174,8,11,1,True,2
0.4719495805301227,30,12,1,True,2
0.4774361649908931,8,13,1,True,2
0.4732008911808926,30,14,1,True,2
0.4582006055206088,1,15,1,True,2
0.4318383441177352,8,16,1,True,2
0.3939853245424826,30,17,1,True,2
0.34498701909559126,8,18,1,True,2
0.2856559217210603,7,19,1,True,1
0.21725442497087794,27,20,1,True,1
0.14147202768442943,-1,21,1,False,0
0.060401897897185225,21,22,1,True,2
-0.02348990120702211,0,23,1,True,1
-0.10749712886692031,0,24,1,True,1
-0.18872638073252507,0,25,1,True,1
-0.2638175144810055,0,26,1,True,1
-0.3292282851169883,0,27,1,True,1
-0.3816868135436043,0,28,1,True,1
-0.4185174851000277,0,29,1,True,1
-0.43786013453847683,0,30,1,True,1
-0.43880328055931894,0,31,1,True,1
-0.42143860547138234,0,32,1,True,1
